"sample_ID"	"clone"	"cell_line"	"genotype"
"V11"	"Ly8_nscc"	"Ly8_nscc"	"Ly8"	"nscc"
"V12"	"Ly8_nscc"	"Ly8_nscc"	"Ly8"	"nscc"
"V13"	"Ly8_nscc"	"Ly8_nscc"	"Ly8"	"nscc"
"V14"	"Ly8_het"	"Ly8_het"	"Ly8"	"het"
"V15"	"Ly8_het"	"Ly8_het"	"Ly8"	"het"
"V16"	"Ly8_het"	"Ly8_het"	"Ly8"	"het"
"V17"	"Ly8_KO"	"Ly8_KO"	"Ly8"	"KO"
"V18"	"Ly8_KO"	"Ly8_KO"	"Ly8"	"KO"
"V19"	"Ly8_KO"	"Ly8_KO"	"Ly8"	"KO"
"V20"	"Ly8_rsc"	"Ly8_rsc"	"Ly8"	"rsc"
"V21"	"Ly8_rsc"	"Ly8_rsc"	"Ly8"	"rsc"
"V22"	"Ly8_rsc"	"Ly8_rsc"	"Ly8"	"rsc"
