contrast	estimate	SE	df	t.ratio	p.value
KO - WT	-0.00184043679192032	0.000431396029771276	40	-4.26623488606538	0.000660169992998227
KO - het	-0.00135269572485667	0.000431396029771276	40	-3.13562395456875	0.0162740880475598
KO - (het+RUNX3)	-0.00138629284887785	0.000431396029771276	40	-3.2135039574028	0.013275146667925
WT - het	0.000487741067063649	0.000431396029771276	40	1.13061093149663	0.673057824474435
WT - (het+RUNX3)	0.000454143943042468	0.000431396029771276	40	1.05273092866258	0.719722905002273
het - (het+RUNX3)	-3.35971240211814e-05	0.000431396029771276	40	-0.0778800028340418	0.999827602350284
