Estimate	Std. Error	t value	Pr(>|t|)
(Intercept)	1.07081204181307	0.500379873307733	2.1399982272159	0.0580351428144022
sqrt(dose)	1.06065712059781	0.036542579190963	29.0252397088631	5.49354398918009e-11
