comparison	p.value	p.adj
het vs WT	0.0092127752527125	0.03685110101085
het+RUNX3 vs WT	0.56605406957163	1
KO vs WT	0.00125572792076848	0.00502291168307394
het+RUNX3 vs het	8.83240617285799e-05	0.000353296246914319
