"Ly8_cas9_11"	"Ly8_cas9_3"	"Ly8_cas9_6"	"Ly8_het_A9"	"Ly8_het_G10"	"Ly8_het_G5"	"Ly8_KO_G6"
"BAIAP2L1"	4254.6096878112	4323.41587408079	4860.0469543313	4995.84488608126	4697.98911695523	5844.94937998905	4214.03506220429
"KDM7A"	34.4405528192548	24.33157016718	22.7530288124125	37.6963611108858	48.4435033999332	58.3122884153837	34.8191633754649
"AGK"	34.4405528192548	24.33157016718	28.2137557273915	55.4675027774463	63.90419597438	48.0218845773748	32.9865758293878
"ALDH3B1"	15.2179186875777	24.33157016718	18.20242304993	12.9244666665894	7.21498986807516	22.2958749823526	11.9118190495011
"PHTF2"	120.141463322982	104.929896345964	93.7424787071394	85.0860722217137	112.347699374313	114.909509524433	98.0434337151248
"FARP2"	35.2414959080747	42.580247792565	51.8769056923004	44.1585944441805	47.4127905616368	39.4465480457007	43.0658073328118
"GGCT"	1241.46178767081	1440.12480926997	1573.59947266645	1478.23587499117	1503.81003107452	1588.15232566604	1513.71731305968
"DBF4"	716.043121404973	713.219150525463	680.770622067381	558.444663885552	621.519841492761	662.015980245239	667.978160545103
"IFRD1"	209.847089270809	261.564379297185	234.811257344097	346.80652222015	360.749493403758	370.45453816832	538.780738546667
"COX10"	116.136747878883	100.367726939617	107.394295994587	139.476536110278	138.115520331725	133.775249894116	107.20637144551
"PAF1"	213.851804714908	185.528222524747	204.777259311712	134.629861110307	193.774013599733	144.065653732124	191.505398565057
"VPS41"	131.35466656646	124.699297106797	103.753811384601	128.706147221453	103.071283829645	108.049240299093	97.1271399420863
"ARHGAP44"	5.60660162173916	10.6450619481412	5.46072691497899	24.2333749998552	24.7371081191149	18.865740369683	22.9073443259637
"ELAC2"	324.381950972051	288.937395735262	239.361863106579	393.119194442095	255.61678389752	305.281980527597	294.130301145374
"ARSD"	31.2367804639753	24.33157016718	24.5732711174055	26.9259722220613	29.8906723105971	30.8712115140267	24.7399318720408
"PNPLA4"	57.6679023950314	62.3496485533987	92.8323575546429	95.8564611105383	79.3648885488268	70.3177595597274	50.3961575171202
"ADIPOR2"	113.733918612423	86.6812187205787	102.843690232104	70.5460472218006	80.3956013871233	77.1780287850667	86.1316146656237
"MARK4"	87.3027966813669	79.077603043335	82.8210248771814	69.4690083329182	86.579878416902	75.4629614787319	94.3782586229706
"CCDC124"	82.4971381484476	95.8055575332712	100.113326774615	98.0105388883032	98.9484324764594	114.909509524433	109.955252764626
"CEACAM21"	24.0282926645964	16.7279544899362	26.3935134223985	20.4637388887666	6.18427702977871	12.0054711443437	12.8281128225397
"PAFAH1B1"	377.244194834164	333.038366663276	342.205553338684	287.030863887174	272.108189310263	240.109422886874	285.883657188027
"KIAA0100"	157.785788497516	135.344359054939	143.799142094447	135.706899999189	165.944766965729	132.060182587781	129.197421998436
"TRAPPC6A"	329.988552593791	313.268965902442	420.475972453383	291.877538887145	325.705256901679	404.755884295016	249.231906266486
"CD79B"	3854.13814340126	3888.48905734245	4193.83827070387	3427.6762638684	3436.39660288037	4087.00539099586	3334.39304008728
"ST7L"	46.4546991515531	60.82892541795	41.865573014839	31.7726472220323	29.8906723105971	41.1616153520356	32.9865758293878
"RPUSD1"	152.980129964597	127.740743377695	145.61938439944	173.403261110075	162.852628450839	212.668345985517	173.179523104286
"LUC7L"	169.799934829815	187.048945660196	151.990232466915	147.015808332455	163.883341289136	150.925922957464	172.263229331247
"TSR3"	173.804650273914	165.758821763914	192.035563176761	206.25294722099	243.248229837963	197.232740228504	214.412742891021
"PIGQ"	28.8339511975157	36.49735525077	41.865573014839	32.8496861109148	39.1670878552652	24.0109422886874	40.3169260136962
"CRAMP1"	21.6254633981368	18.248677625385	20.022665354923	22.0792972220903	19.5835439276326	12.0054711443437	32.0702820563492
"DNAJC11"	33.639609730435	39.5388015216675	44.5959364723285	38.2348805553271	45.3513648850439	48.0218845773748	47.6472761980046
"MYLIP"	72.8858210826091	88.2019418560275	78.2704191146989	119.012797221511	122.654827757278	109.764307605428	91.629377303855
"E2F2"	167.397105563355	135.344359054939	147.439626704433	94.2409027772146	181.405459540176	75.4629614787319	155.769941416553
"PSMB1"	3155.71576995033	3071.86073360647	3260.96408939496	3398.05769442414	3124.09061287655	3459.29075687732	4225.03058748075
"JARID2"	46.4546991515531	28.8937395735262	36.40484609986	32.3111666664736	51.5356419148226	30.8712115140267	23.8236380990023
"CDK11A"	191.425398227951	272.209441245326	172.923018974335	189.558844443312	172.129043995507	238.394355580539	180.509873288594
"NADK"	308.363089195654	317.831135308789	314.901918763789	403.88958333092	408.162283965395	325.862788203615	427.909192009003
"CYTH3"	75.2886503490687	60.82892541795	76.4501768097059	84.5475527772725	54.627780429712	70.3177595597274	91.629377303855
"SYPL1"	923.487381409322	894.185203643865	973.829633171254	1446.46322776913	824.570270637162	1517.83456610631	1139.86945365996
"SPAG9"	82.4971381484476	97.32628066872	84.6412671821744	81.8549555550664	106.163422344535	99.4739037674193	92.5456710768935
"SS18L2"	967.539251294415	1094.9206575231	906.480667886513	843.32144999496	860.645219977537	871.254191618086	946.531467548822
"MPND"	29.6348942863356	27.3730164380775	26.3935134223985	18.8481805554429	25.7678209574113	27.441076901357	17.4095816877324
"NFIX"	10.4122601546584	7.60361567724375	8.19109037246849	19.9252194443254	17.5221182510397	44.5917499647052	39.4006322406576
"ST3GAL1"	44.0518698850934	22.8108470317312	40.045330709846	25.3104138887376	52.5663547531191	42.8766826583704	44.8983948788889
"PKD1"	8.0094308881988	13.6865082190387	10.921453829958	14.5400249999131	17.5221182510397	8.57533653167407	21.0747567798866
"MED24"	100.117886102485	101.888450075066	104.663932537097	106.088330554922	106.163422344535	72.0328268660622	168.598054239093
"RHOBTB2"	57.6679023950314	41.0595246571162	61.8882383697619	77.5467999995366	50.5049290765262	126.914980668776	40.3169260136962
"HEATR5B"	21.6254633981368	22.8108470317312	8.19109037246849	28.541530555385	29.8906723105971	22.2958749823526	24.7399318720408
"SEC62"	2031.99261633604	2478.77871078146	2242.53851975137	1538.55005276858	1496.59504120645	1560.71124876468	1520.13136947095
"RPS20"	9869.22074043856	9303.78414267545	10785.845778236	9648.11436660901	9453.69815285506	11818.5288079532	9386.5134110069
"CSDE1"	1085.27788535094	837.918447632261	875.536548701632	1074.88481110469	983.300047734815	969.01302807917	937.368529818436
"UBE3C"	721.649723026712	655.431671378411	827.300127619318	767.928727773188	751.389659118114	881.544595456095	678.973685821565
"REV3L"	125.748064944721	141.427251596734	141.068778636957	84.5475527772725	97.9177196381629	111.479374911763	93.4619648499321
"FAM76A"	94.5112844807459	106.450619481412	95.5627210121324	95.8564611105383	103.071283829645	97.7588364610844	95.2945523960092
"TRAF3IP3"	46.4546991515531	30.414462708975	35.4947249473635	43.6200749997393	16.4914054127432	17.1506730633481	18.325875460771
"POMT2"	12.8150894211181	7.60361567724375	10.921453829958	7.00075277773594	5.15356419148226	6.86026922533926	16.4932879146939
"VTA1"	256.301788422362	235.712085994556	229.350530429118	281.645669442761	248.401794029445	301.851845914927	514.040806674626
"BAZ1B"	766.502536000625	948.93123652002	660.747956712458	677.995980551504	742.113243573446	641.435172569221	680.806273367642
"RANBP9"	128.951837300001	136.865082190387	125.596719044517	186.327727776664	195.835439276326	159.501259489138	175.928404423402
"SPRTN"	86.5018535925471	71.4739873660912	71.8995710472234	93.1638638883321	88.6413040934949	65.172557640723	91.629377303855
"METTL13"	125.748064944721	132.302912784041	99.2032056221184	134.091341665865	108.224848021127	102.904038380089	126.44854067932
"DYRK4"	115.335804790063	106.450619481412	125.596719044517	104.472772221598	105.132709506238	120.054711443437	113.62042785678
"ZNF207"	1036.42035693292	1031.05028583425	1144.0222886881	1136.27602777099	940.010108526364	936.426749258809	984.099512243402
"UQCRC1"	1016.39677971243	1084.27559557496	1107.61744258824	1246.67251388144	1264.68465258975	1121.65401834297	1112.3806404688
"STARD3NL"	397.267772054661	328.47619725693	355.857370626131	403.351063886478	391.670878552652	497.369518837096	525.036331951089
"CD9"	1137.33918612423	1087.31704184586	1537.19462656659	881.556330550287	584.414179314088	735.763874417636	2397.02451026885
"NCAPD2"	240.282926645964	149.030867273977	208.417743921698	157.247677776838	144.299797361503	114.909509524433	229.989737032676
"IFFO1"	74.4877072602489	42.580247792565	49.1465422348109	52.2363861107989	76.2727500339375	72.0328268660622	74.2197956161225
"GIPR"	4.80565853291928	6.082892541795	7.28096921997199	6.46223333329471	23.7063952808184	8.57533653167407	12.8281128225397
"PHF7"	24.8292357534163	31.9351858444237	26.3935134223985	23.1563361109727	36.0749493403758	22.2958749823526	18.325875460771
"NISCH"	48.8575284180127	44.1009709280137	42.7756941673355	47.9282305552691	64.9349088126765	46.30681727104	56.8102139283901
"IDS"	90.5065690366465	86.6812187205787	91.0121152496499	121.166874999276	129.869817625353	113.194442218098	114.536721629819
"ZNF200"	73.686764171429	63.8703716888475	67.3489652847409	92.6253444438909	86.579878416902	58.3122884153837	79.7175582543538
"LRRC23"	16.8198048652175	19.7694007608337	17.2923018974335	11.847427777707	16.4914054127432	17.1506730633481	8.24664395734695
"BTK"	43.2509267962735	39.5388015216675	40.9554518623425	46.8511916663867	41.2285135318581	51.4520191900444	32.9865758293878
"SCMH1"	36.8433820857145	54.746032876155	44.5959364723285	62.4682555551822	55.6584932680084	53.1670864963793	52.2287450631973
"FYN"	102.520715368945	48.66314033436	89.1918729446569	104.472772221598	124.716253433871	66.8876249470578	80.6338520273924
"HIVEP2"	13.616032509938	15.2072313544875	10.0113326774615	7.53927222217717	8.24570270637162	12.0054711443437	23.8236380990023
"FMO1"	157.785788497516	106.450619481412	162.911686296873	115.243161110422	139.146233170021	140.635519119455	153.021060097438
"ELOA"	176.207479540374	162.717375493016	125.596719044517	132.475783332542	131.931243301946	106.334172992759	117.285602948934
"LYPLA2"	153.781073053417	145.98942100308	143.799142094447	187.943286109988	241.18680416137	209.238211372847	183.25875460771
"CLCN6"	36.0424389968946	31.9351858444237	37.3149672523565	38.2348805553271	21.6449696042255	41.1616153520356	35.7354571485034
"NME1-NME2"	8003.02334348824	7834.76559383196	8434.09272018506	8276.5053416172	8147.78498673345	9678.12480964736	7616.23384149643
"BTBD7"	55.2650731285717	51.7045866052575	33.6744826423705	32.8496861109148	28.8599594723007	24.0109422886874	28.405106964195
"APBA3"	32.8386666416151	42.580247792565	36.40484609986	22.6178166665315	27.8292466340042	39.4465480457007	30.2376945102721
"MKS1"	20.8245203093169	28.8937395735262	18.20242304993	39.3119194442095	31.95209798719	36.0164134330311	46.730982424966
"ABHD5"	41.6490406186338	39.5388015216675	58.2477537597759	46.3126722219454	45.3513648850439	41.1616153520356	43.0658073328118
"AKAP8L"	45.6537560627332	44.1009709280137	39.1352095573495	47.9282305552691	42.2592263701545	29.1561442076919	30.2376945102721
"MBTD1"	49.6584715068326	41.0595246571162	37.3149672523565	36.6193222220034	31.95209798719	29.1561442076919	31.1539882833107
"UTP18"	504.594145956524	466.862002582766	477.813605060662	451.817813886189	434.960817761103	475.073643854744	418.746254278617
"RNF216"	155.382959231057	171.841714305709	127.41696134951	189.558844443312	175.221182510397	174.936865246151	197.003161203288
"TTC19"	190.624455139131	139.906528461285	170.192655516845	241.795230554111	200.989003467808	190.372471003164	200.668336295442
"PTBP1"	1043.6288447323	856.167125257646	1015.69520618609	828.781424995047	760.666074662782	780.355624382341	978.601749605171
"LARS2"	48.8575284180127	39.5388015216675	46.4161787773214	47.9282305552691	35.0442365020794	36.0164134330311	32.0702820563492
"PIK3C2A"	104.923544635404	127.740743377695	151.990232466915	137.322458332513	136.054094655132	174.936865246151	120.03448426805
"PLAUR"	24.0282926645964	18.248677625385	20.9327865074195	22.6178166665315	17.5221182510397	32.5862788203615	32.9865758293878
"ANLN"	73.686764171429	42.580247792565	40.045330709846	53.3134249996814	53.5970675914155	54.8821538027141	62.3079765666214
"WIZ"	31.2367804639753	24.33157016718	27.303634574895	25.8489333331789	23.7063952808184	30.8712115140267	34.8191633754649
"RABGAP1"	45.6537560627332	63.8703716888475	46.4161787773214	62.4682555551822	66.9963344892694	37.7314807393659	57.7265077014286
"DCN"	7.20848779937892	18.248677625385	18.20242304993	10.2318694443833	9.27641554466807	18.865740369683	9.1629377303855
"PPP5C"	31.2367804639753	31.9351858444237	25.483392269902	25.3104138887376	36.0749493403758	37.7314807393659	33.9028696024263
"CEP68"	30.4358373751554	31.9351858444237	39.1352095573495	39.8504388886507	48.4435033999332	12.0054711443437	28.405106964195
"MAP4K3"	27.2320650198759	21.2901238962825	20.9327865074195	24.7718944442964	28.8599594723007	18.865740369683	24.7399318720408
"TYROBP"	6.40754471055904	6.082892541795	8.19109037246849	66.776411110712	43.289939208451	34.3013461266963	9.1629377303855
"TMEM159"	44.8528129739133	57.7874791470525	46.4161787773214	77.0082805550953	84.5184527403091	75.4629614787319	58.6428014744672
"BRCA1"	261.908390044101	263.085102432634	234.811257344097	206.791466665431	202.019716306105	152.640990263799	210.747567798866
"ERCC1"	312.367804639753	191.611115066542	312.171555306299	268.721202776172	341.165949476126	349.873730492302	463.644649157506
"CD22"	300.353658307455	260.043656161736	322.182887983761	159.940274999044	118.531976404092	186.942336390495	151.188472551361
"MBTPS2"	35.2414959080747	30.414462708975	24.5732711174055	32.8496861109148	36.0749493403758	29.1561442076919	30.2376945102721
"ELOVL5"	398.8696582323	404.512354029367	472.352878145683	460.434124997248	398.885868420727	469.928441935739	350.940515073765
"ALOX5"	176.207479540374	173.362437441157	176.563503584321	67.3149305551533	239.125378484777	229.819019048865	193.337986111134
"CALCOCO1"	12.8150894211181	7.60361567724375	10.921453829958	6.46223333329471	15.4606925744468	12.0054711443437	8.24664395734695
"UBR7"	169.799934829815	164.238098628465	182.934351651796	101.780174999392	85.5491655786055	68.6026922533926	109.038958991587
"MAP4K5"	197.031999849691	115.574958294105	141.068778636957	136.24541944363	175.221182510397	90.8985672357452	143.858122367052
"EHD3"	11.2132032434783	10.6450619481412	13.6518172874475	29.0800499998262	3.09213851488936	13.7205384506785	27.4888131911565
"PSMC4"	665.58370680932	754.27867518258	654.377108644983	583.216558329848	603.997723241721	567.687278396824	656.066341495602
"MAN2B2"	30.4358373751554	42.580247792565	36.40484609986	48.4667499997104	31.95209798719	37.7314807393659	32.9865758293878
"SLC25A39"	615.925235302488	469.903448853664	578.837052987773	600.449180551967	609.151287433203	559.11194186515	606.58647775152
"MVP"	34.4405528192548	44.1009709280137	34.584603794867	51.1593472219165	43.289939208451	34.3013461266963	41.2332197867347
"NUB1"	313.969690817393	504.880080968985	288.50840534139	436.739269441834	553.492794165195	440.772297728047	592.842071155942
"PGM3"	62.4735609279507	83.6397724496812	61.8882383697619	55.4675027774463	99.9791453147559	77.1780287850667	65.9731516587756
"RWDD2A"	20.023577220497	18.248677625385	14.561938439944	30.6956083331499	26.7985337957078	20.5808076760178	27.4888131911565
"CLK1"	261.107446955281	304.14462708975	283.047678426411	243.949308331875	285.507456208117	228.10395174253	263.892606635102
"POLR3B"	28.0330081086958	36.49735525077	26.3935134223985	33.9267249997973	23.7063952808184	37.7314807393659	20.1584630068481
"RNF14"	129.752780388821	76.0361567724375	101.023447927111	120.089836110393	138.115520331725	168.076596020812	133.778890863628
"DDX11"	104.122601546584	85.16049558513	71.8995710472234	91.0097861105672	80.3956013871233	63.4574903343881	87.0479084386622
"TACC3"	659.977105187581	401.47090775847	580.657295292766	482.513422219339	371.056621786723	509.37498998144	621.247178120137
"UFL1"	112.132032434783	129.261466513144	111.034780604573	115.781680554864	125.746966272167	84.0382980104059	77.8849707082767
"POLA2"	256.301788422362	266.126548703531	274.856588053943	226.716686109756	262.831773765595	233.249153661535	283.134775868912
"ZC3H3"	15.2179186875777	18.248677625385	19.1125442024265	18.3096611110017	14.4299797361503	8.57533653167407	10.079231503424
"CAPN1"	234.676325024225	159.675929222119	204.777259311712	240.179672220787	336.012385284643	253.829961337553	279.469600776758
"ACPP"	10.4122601546584	12.16578508359	11.8315749824545	18.8481805554429	2.0614256765929	8.57533653167407	0.91629377303855
"MDH1"	1176.5853974764	1219.6199546299	1312.39470189995	1343.06749443642	1184.28905120262	1546.990710314	1412.92499802544
"SLC30A9"	128.951837300001	121.6578508359	155.630717076901	174.480299998957	171.098331157211	193.802605615834	178.677285742517
"COX15"	184.216910428572	185.528222524747	178.383745889314	176.095858332281	185.528310893361	161.216326795473	149.355885005284
"CCDC88C"	180.212194984473	237.232809130005	190.215320871768	145.938769443572	130.900530463649	118.339644137102	110.871546537665
"YAF2"	161.790503941616	179.445329982952	172.923018974335	145.400249999131	149.453361552986	142.35058642579	183.25875460771
"WAS"	51.2603576844723	48.66314033436	38.225088404853	36.6193222220034	50.5049290765262	42.8766826583704	28.405106964195
"DPEP1"	10.4122601546584	7.60361567724375	17.2923018974335	6.46223333329471	18.5528310893361	5.14520191900444	13.7444065955782
"BID"	502.191316690065	419.719585383855	489.645180043116	567.599494441052	511.23356779504	768.350153237997	547.943676277053
"XYLT2"	20.8245203093169	24.33157016718	22.7530288124125	25.3104138887376	25.7678209574113	30.8712115140267	12.8281128225397
"NUDCD3"	161.790503941616	142.947974732182	145.61938439944	149.708405554661	152.545500067875	121.769778749772	198.835748749365
"GLT8D1"	100.117886102485	88.2019418560275	101.023447927111	99.0875777771856	122.654827757278	97.7588364610844	101.708608807279
"ATP2C1"	40.8480975298139	28.8937395735262	55.5173903022864	48.4667499997104	47.4127905616368	36.0164134330311	55.8939201553515
"SLC38A5"	64.8763901944103	65.3910948242962	56.4275114547829	57.08306111077	28.8599594723007	37.7314807393659	48.5635699710431
