"Ly1_cas9_1"	"Ly1_cas9_7"	"Ly1_cas9_9"	"Ly1_KO_E8"	"Ly1_het_F10"	"Ly1_het_F9"	"Ly1_KO_G1"	"Ly1_KO_H3"
"LIG3"	26.566865958163	37.5046786592605	33.9140649556589	43.0809860954292	34.6250947149211	32.3798101279625	33.449153764579	40.7326598731606
"RPAP3"	322.425145946797	370.093338467797	383.652859810892	283.257483577447	353.464508548153	366.07174228002	348.264718607676	310.490463938809
"REXO5"	89.3612764047302	59.4413774976959	95.3833076877907	63.544454490758	82.2345999479376	75.5528902985791	63.9469116087541	63.0203416905504
"CIAPIN1"	411.786422351527	481.899738999178	453.600618781938	397.422096730334	558.329652278102	459.613415983023	483.045132306127	428.845739796672
"SPPL2B"	71.2475041605281	87.0391599073404	86.904791448876	36.6188381811148	51.9376420723816	46.7708368515014	56.0765224876766	50.7236896533699
"FAM214B"	10.8682633465212	10.6145316960171	12.7177743583721	9.69322187147156	11.541698238307	4.4971958511059	8.8541877612121	10.759570532533
"MSL3"	166.646704646659	179.031767939489	163.211437599109	107.702465238573	118.302406942647	138.513632214062	120.023434096431	120.660898114834
"CREBBP"	83.3233523233295	93.4078789249507	121.878670934399	98.0092433671013	66.3647648702654	82.7484036603485	74.7686966502355	68.4001269568169
"GCFC2"	124.381236076854	90.5773371393462	102.802009396841	146.475352724459	167.354624455452	140.312510554504	141.667004179394	144.485661436872
"WDR54"	271.706583663031	225.735707401964	408.028593997772	367.265406463534	238.047526165082	242.848575959719	210.532908988821	259.76677428544
"CROT"	89.3612764047302	71.4711800865153	58.2897991425388	78.6227996241582	86.5627367873027	87.2455995114544	94.4446694529291	78.3911567370262
"ABCB4"	32.6047900395637	23.3519697312377	61.4692427321318	12.9242958286287	15.8698350776722	45.8713976812802	2.95139592040403	13.0651927895044
"KMT2E"	1517.93411406413	1316.20193030612	1232.56429823223	1219.19190650065	939.205694142234	1007.37187064772	817.536669951917	972.204051689589
"RHBDD2"	148.532932402457	128.789651245008	146.254405121279	137.859155505373	154.370213937356	111.530457107426	146.585997380067	122.197979619482
"IBTK"	51.9261471000459	51.6573875872834	32.8542504257946	64.6214791431437	34.6250947149211	58.4635460643767	49.1899320067339	66.0945046998456
"ZNF195"	164.231535014099	172.663048921879	147.314219651144	174.477993686488	298.641441916194	131.318118852292	239.063069552727	166.004802501938
"MYCBP2"	431.107779412009	367.262796682193	364.576198273334	476.044896354492	337.594673470481	453.317341791475	473.20714590478	517.996467066232
"FBXL3"	198.043909869943	172.663048921879	184.407728196395	213.250881172374	245.261087564024	236.55250176817	211.516707628956	192.90372883327
"ITGAL"	90.5688612210103	109.683494192177	95.3833076877907	8.61619721908583	14.4271227978838	20.6871009150871	3.93519456053871	3.84270376161893
"PDK2"	30.1896204070034	22.6443342848365	40.272952134845	39.849912138272	40.3959438340746	36.8770059790684	29.5139592040403	23.8247633220374
"ZFX"	92.9840308535706	74.3017218721199	77.3664606800969	82.9308982337011	90.8908736266678	79.1506469794638	54.1089252074073	72.2428307184359
"LAMP2"	318.802391497956	372.216244807001	333.841576907268	242.330546786789	251.031936683178	248.245210981046	215.451902189494	184.449780557709
"GDE1"	218.572851746705	197.430289545919	190.766615375581	138.936180157759	183.224459533124	154.703537278043	213.484304909225	203.663299365803
"REX1BD"	338.123748558439	361.601713110983	370.93508545252	371.573505073076	321.724838392808	312.105392066749	315.799363483232	290.508404378391
"OSBPL7"	9.6606785302411	16.2756152672263	15.8972179479651	20.4634683953288	15.8698350776722	9.89383087243298	24.5949660033669	16.9078965511233
"MAP3K14"	16.9061874279219	14.1527089280228	12.7177743583721	14.0013204810145	5.77084911915351	8.09495253199062	8.8541877612121	11.5281112848568
"AP2B1"	123.173651260574	114.636942316985	95.3833076877907	105.548415933801	77.9064631085724	115.128213788311	94.4446694529291	122.966520371806
"ZNF263"	95.3992004861309	97.6536916033576	83.725347859283	82.9308982337011	92.3335859064562	91.7427953625603	89.5256762522557	91.4563495265305
"MAP3K9"	13.2834329790815	10.6145316960171	7.41870170905039	10.7702465238573	5.77084911915351	10.7932700426542	21.6435700829629	11.5281112848568
"RALA"	451.636721288771	447.933237571923	414.387481176958	465.274649830635	639.121539946252	487.496030259879	510.591494229898	459.587369889624
"BAIAP2L1"	4075.59875494546	3395.23487183268	3501.62720667178	4807.83804824989	4103.07372371815	4950.51319289737	4221.4799648179	4372.22833997002
"KDM7A"	35.019959672124	28.3054178560457	36.0336940153876	44.1580107478149	31.7396701553443	22.4859792555295	43.2871401659258	35.3528746068941
"AGK"	95.3992004861309	101.899504281764	116.579598285078	103.39436662903	92.3335859064562	114.22877461809	51.1575292870032	146.791283693843
"PHTF2"	123.173651260574	110.391129638578	129.29737264345	113.087588500502	116.859694662859	96.2399912136662	160.359178341952	124.503601876453
"FARP2"	56.7564863651665	94.823149817753	74.1870170905039	61.3904051859866	38.9532315542862	42.2736410003955	99.3636626536025	53.797852662665
"GGCT"	1004.71056714507	1024.65612638885	1089.48933670054	1024.25044441883	950.747392380541	1131.49447613824	1039.87516262235	1124.3751206497
"DBF4"	1152.03591473125	985.736176836791	1037.55842473719	865.927820518126	868.512792432604	1097.31578766984	898.208158442961	936.851177082695
"IFRD1"	648.473046342434	501.005896052008	563.82132988783	504.047537316521	587.18389787387	633.205175835711	686.691450814005	668.630454521694
"COX10"	137.664669055936	142.942360173031	175.929211957481	140.013204810145	152.927501657568	160.999611469591	189.873137545993	168.310424758909
"PAF1"	216.157682114145	208.044821241936	233.159196570155	173.400969034102	191.880733211854	211.368205001977	162.326775622222	185.218321310032
"VPS41"	118.343311995453	135.866005709019	127.177743583721	127.088908981516	125.515968341589	129.51924051185	171.180963383434	135.263172408986
"ARHGAP44"	4.83033926512055	8.4916253568137	6.35888717918605	22.6175177001003	4.32813683936513	11.6927092128753	25.5787646435016	16.1393557987995
"ELAC2"	196.836325053662	259.702208829219	195.005873495039	199.24956069136	242.375663004448	234.753623427728	210.532908988821	225.182440430869
"PNPLA4"	80.9081826907692	87.7467953537416	85.8449769190117	148.629402029231	90.8908736266678	134.016436362956	99.3636626536025	154.476691217081
"ADIPOR2"	159.401195748978	167.709600797071	182.288099136667	160.476673205474	157.255638496933	135.815314703398	168.22956746303	195.209351090242
"MARK4"	165.439119830379	168.417236243472	173.809582897752	130.319982938673	147.156652538415	133.116997192735	144.618400099798	110.669868334625
"CCDC124"	134.041914607095	190.353935081907	171.689953838023	170.169895076945	158.698350776722	185.284469065563	160.359178341952	156.013772721729
"PAFAH1B1"	489.071850593456	438.026341322307	456.780062371531	494.35431544505	497.73573652699	491.993226110985	448.612179901413	455.744666128005
"KIAA0100"	130.419160158255	164.879059011466	156.852550419923	119.549736414816	85.1200245075143	98.0388695541086	117.072038176027	131.420468647367
"TRAPPC6A"	220.988021379265	228.566249187569	282.970479473779	284.334508229832	261.130922641696	229.356988406401	172.164762023569	236.710551715726
"CD79B"	3277.38519138429	3531.8085129881	3328.8774383039	4747.52466771629	4427.68398667053	3802.82881169515	4158.51685184928	4325.34735407827
"SCN4A"	10.8682633465212	16.9832507136274	16.9570324778295	37.6958628335005	20.1979719170373	8.9943917022118	16.7245768822895	27.6674670836563
"ST7L"	30.1896204070034	31.1359596416502	27.5551777764729	35.5418135287291	41.838656113863	31.4803709577413	46.2385360863299	39.9641191208369
"PAX6"	10.8682633465212	9.90689624961599	9.53833076877907	11.847271176243	21.6406841968257	20.6871009150871	20.6597714428282	12.2966520371806
"RPUSD1"	103.852294200092	122.420932227398	114.459969225349	134.628081548216	193.323445491643	138.513632214062	169.213366103165	124.503601876453
"LUC7L"	115.928142362893	111.098765084979	110.220711105892	112.010563848116	163.026487616087	92.6422345327815	134.780413698451	111.438409086949
"TSR3"	210.119758032744	244.134229008394	257.534930757035	281.103434272675	225.063115646987	272.530068577017	269.560827396902	226.719521935517
"PIGQ"	41.0578837535247	43.8733976768708	36.0336940153876	43.0809860954292	40.3959438340746	38.6758843195107	39.3519456053871	49.1866081487223
"CRAMP1"	22.9441115093226	14.1527089280228	14.8374034181008	17.2323944381717	12.9844105180954	15.2904658937601	14.7569796020202	20.7506003127422
"DNAJC11"	64.0019952628473	58.7337420512948	43.452395724438	52.7742079669007	43.2813683936513	62.9607419154826	53.1251265672726	54.5663934149888
"MYLIP"	80.9081826907692	118.175119548991	85.8449769190117	233.714349567703	164.469199895875	116.027652958532	89.5256762522557	127.577764885748
"E2F2"	189.590816155982	180.447038832291	196.065688024903	102.317341976644	113.974270103282	108.832139596763	130.845219137912	121.429438867158
"PSMB1"	4332.81432081313	4879.14640293587	4390.81159722797	4580.58584659651	4527.23113397593	4899.24516019477	4844.22450402315	4599.71640265786
"JARID2"	18.1137722442021	27.5977824096445	25.4355487167442	26.9256163096432	10.0989859585186	25.184296766193	13.7731809618855	14.6022742941519
"CDK11A"	293.443110356073	275.270188650044	270.252705115407	191.71038812466	188.995308652278	226.658670895737	233.160277711919	201.357677108832
"NADK"	520.469055816739	576.722888816931	520.368934163392	418.962589778049	464.553354091858	498.289300302534	396.470851974275	442.679473338501
"CYTH3"	15.6986026116418	12.0298025888194	9.53833076877907	12.9242958286287	10.0989859585186	10.7932700426542	22.6273687230976	13.0651927895044
"SYPL1"	3035.86822812827	3319.51787906776	2503.28191953958	2520.23768658261	3267.74331372068	2799.05469772831	4033.57442455218	3129.49794346246
"SPAG9"	176.3073831769	144.357631065833	170.630139308159	140.013204810145	126.958680621377	150.206341426937	140.683205539259	109.132786829978
"SS18L2"	1156.86625399637	1166.18321566908	1268.59799224762	988.708630890099	1077.70607300192	1140.48886784046	1084.14610142841	1152.81112848568
"MPND"	28.9820355907233	29.720688748848	38.1533230751163	21.5404930477146	23.0833964766141	23.3854184257507	20.6597714428282	17.6764373034471
"NFIX"	8.45309371396096	12.7374380352206	4.23925811945737	15.0783451334002	10.0989859585186	10.7932700426542	9.83798640134678	9.22248902788543
"ST3GAL1"	131.626744974535	97.6536916033576	171.689953838023	21.5404930477146	20.1979719170373	59.3629852345979	9.83798640134678	22.2876818173898
"PKD1"	12.0758481628014	12.7374380352206	20.1364760674225	12.9242958286287	12.9844105180954	10.7932700426542	14.7569796020202	9.99102978020921
"MED24"	172.68462872806	160.633246333059	154.732921360194	187.402289515117	160.14106305651	151.105780597158	172.164762023569	195.209351090242
"RHOBTB2"	47.0958078349254	59.4413774976959	42.3925811945737	240.176497482018	99.5471473053981	140.312510554504	132.812816418182	126.809224133425
"HEATR5B"	26.566865958163	36.0894077664582	42.3925811945737	30.1566902668004	27.4115333159792	25.184296766193	37.3843483251178	30.7416300929514
"SEC62"	3239.95006207961	3626.63166280585	3191.10154942153	3173.99165058074	3059.99274543115	3192.10961511497	3678.42311546356	3267.83527888074
"RPS20"	14862.9539187759	13390.5855522488	13155.4777592061	19258.2778093092	15403.8390113005	19759.7791305891	18515.0904073346	18633.2705400902
"CSDE1"	1054.22154461256	1149.19996495545	1017.42194866977	1080.25572634289	995.471473053981	1067.63429505254	1053.64834358424	1070.57726798703
"UBE3C"	678.662666749437	709.050717293944	625.290572619962	831.463031641783	712.699866215459	756.428342156012	746.70316786222	739.336203735482
"REV3L"	131.626744974535	109.683494192177	115.519783755213	107.702465238573	99.5471473053981	98.9383087243298	118.055836816161	110.669868334625
"FAM76A"	138.872253872216	159.217975440257	147.314219651144	138.936180157759	151.48478937778	154.703537278043	106.250253134545	109.132786829978
"POMT2"	6.03792408140069	9.19926080321484	9.53833076877907	18.3094190905574	10.0989859585186	8.9943917022118	15.7407782421548	19.9820595604184
"VTA1"	479.411172063215	548.417470960885	514.010046984206	373.727554377848	549.673378599372	427.23360585506	428.93620709872	429.614280548996
"BAZ1B"	1049.39120534744	848.454900234969	889.184390556183	792.690144155897	627.579841707945	789.707591454196	737.848980101008	823.875686491098
"RANBP9"	163.023950197819	167.001965350669	160.031994009516	166.938821119788	203.422431450161	175.39063819313	212.50050626909	185.986862062356
"SPRTN"	94.1916156698507	80.6704408897302	86.904791448876	77.5457749717725	131.286817460742	71.0556944474732	77.7200925706396	73.0113714707596
"METTL13"	102.644709383812	111.098765084979	102.802009396841	107.702465238573	88.0054490670911	81.8489644901274	93.4608708127944	136.03171316131
"DYRK4"	13.2834329790815	12.0298025888194	10.5981452986434	33.3877642239576	28.8542455957676	15.2904658937601	29.5139592040403	36.8899561115417
"ZNF207"	1063.8822231428	1104.61893183218	967.610665766144	1063.02333190471	1296.99833952975	1082.02532177608	1135.30363071542	954.527614386142
"UQCRC1"	1558.99199781766	1419.51670548069	1379.87851788337	1341.97271687262	1597.08249372573	1538.94042024844	1243.52148113023	1385.67897643979
"STARD3NL"	175.09979836062	151.433985529844	175.929211957481	184.17121555796	222.17769108741	208.669887491314	211.516707628956	223.645358926222
"CD9"	114.720557546613	97.6536916033576	1215.6072657544	1802.93926809371	2073.1775460559	2140.66522512641	978.879646934004	455.744666128005
"NCAPD2"	266.87624439791	307.113783738096	264.953632466085	261.716990529732	213.52141740868	217.664279193526	202.662519867744	249.007203752907
"IFFO1"	51.9261471000459	71.4711800865153	58.2897991425388	50.6201586621293	56.2657789117468	44.0725193408378	44.2709388060605	45.3439043871034
"PHF7"	32.6047900395637	30.4283241952491	38.1533230751163	45.2350354002006	30.2969578755559	38.6758843195107	25.5787646435016	35.3528746068941
"NISCH"	68.8323345279678	98.3613270497587	80.54590426969	86.1619721908583	80.7918876681492	62.0613027452614	73.7848980101008	71.4742899661121
"IDS"	101.437124567532	96.2384207105553	105.981452986434	117.395687110044	122.630543782012	100.737187064772	115.104440895757	129.88338714272
"ZNF200"	78.4930130582089	113.221671424183	87.9646059787404	81.8538735813154	88.0054490670911	69.2568161070308	77.7200925706396	85.3080235079402
"LRRC23"	8.45309371396096	22.6443342848365	21.1962905972868	14.0013204810145	15.8698350776722	19.787661744866	12.7893823217508	10.759570532533
"BTK"	119.550896811734	111.098765084979	105.981452986434	20.4634683953288	75.0210385489957	116.027652958532	36.4005496849831	83.7709420032926
"SCMH1"	20.5289418767623	11.3221671424183	15.8972179479651	24.7715670048718	27.4115333159792	22.4859792555295	16.7245768822895	39.9641191208369
"FYN"	8.45309371396096	6.36871901761028	14.8374034181008	21.5404930477146	15.8698350776722	8.9943917022118	14.7569796020202	10.759570532533
"HIVEP2"	42.2654685698048	38.9199495520628	43.452395724438	22.6175177001003	25.9688210361908	30.5809317875201	39.3519456053871	40.7326598731606
"FMO1"	406.956083086406	336.126837040542	365.636012803198	401.730195339877	330.381112071539	359.775668088472	263.658035556094	318.175871462047
"ELOA"	194.421155421102	216.536446598749	198.185317084632	226.175177001003	235.162101605506	207.770448321093	249.884854594208	211.348706889041
"LYPLA2"	175.09979836062	206.629550349133	185.46754272626	189.556338819888	222.17769108741	218.563718363747	224.306089950707	202.126217861156
"CLCN6"	26.566865958163	29.0130533024468	27.5551777764729	42.0039614430434	23.0833964766141	32.3798101279625	46.2385360863299	27.6674670836563
"NME1-NME2"	5975.12967095412	6545.62787921056	5966.75580313624	6783.10126072532	6459.02287661257	6939.1731982564	6597.35368074315	7000.63771291736
"BTBD7"	64.0019952628473	62.9795547297016	63.5888717918605	71.0836270574581	49.0522175128049	64.7596202559249	64.9307102488887	57.6405564242839
"APBA3"	50.7185622837658	61.5642838368993	38.1533230751163	43.0809860954292	46.1667929532281	41.3742018301743	51.1575292870032	56.8720156719601
"MKS1"	26.566865958163	26.8901469632434	15.8972179479651	72.1606517098438	53.38035435217	75.5528902985791	44.2709388060605	101.44737930674
"ABHD5"	48.3033926512055	42.4581267840685	33.9140649556589	43.0809860954292	57.7084911915351	50.3685935323861	60.99551568835	57.6405564242839
"AKAP8L"	59.1716559977267	80.6704408897302	71.0075735009109	66.7755284479152	76.463750828784	80.9495253199062	90.5094748923904	59.9461786812553
"MBTD1"	37.4351293046843	31.1359596416502	28.6149923063372	28.002640962029	21.6406841968257	22.4859792555295	36.4005496849831	24.5933040743611
"UTP18"	771.646697603008	741.601947828397	724.91313842721	697.911974745952	793.491753883608	727.646288708934	724.075799139123	747.02161125872
"RNF216"	146.117762769897	141.527089280228	169.570324778295	160.476673205474	150.042077097991	110.631017937205	152.488789220875	159.856476483347
"TTC19"	220.988021379265	189.646299635506	192.88624443531	218.636004434303	232.276677045929	205.97156998065	187.905540265723	229.025144192488
"PTBP1"	1110.97803097773	1338.13862914456	1161.55672473132	983.323507628171	1038.75284144763	1182.76250884085	1089.06509462909	1146.66280246709
"LARS2"	56.7564863651665	59.4413774976959	58.2897991425388	34.4647888763433	49.0522175128049	51.2680327026073	50.1737306468686	59.1776379289315
"PIK3C2A"	129.211575341975	117.46748410259	126.117929053857	145.398328072073	160.14106305651	140.312510554504	187.905540265723	153.708150464757
"ANLN"	91.7764460372905	93.4078789249507	71.0075735009109	82.9308982337011	60.5939157511119	73.7540119581367	65.9145088890234	70.7057492137883
"WIZ"	24.1516963256028	24.0596051776388	40.272952134845	22.6175177001003	31.7396701553443	24.2848575959719	31.4815564843097	23.8247633220374
"RABGAP1"	126.796405709414	117.46748410259	101.742194866977	81.8538735813154	86.5627367873027	78.2512078092426	72.8010993699662	70.7057492137883
"DCN"	3.62275444884041	10.6145316960171	7.41870170905039	11.847271176243	138.500378859684	11.6927092128753	89.5256762522557	14.6022742941519
"PPP5C"	36.2275444884041	38.9199495520628	31.7944358959302	24.7715670048718	31.7396701553443	43.1730801706166	37.3843483251178	24.5933040743611
"CEP68"	57.9640711814466	75.009357318521	72.0673880307752	46.3120600525863	54.8230666319584	45.8713976812802	57.0603211278113	46.8809858917509
"MAP4K3"	30.1896204070034	23.3519697312377	23.3159196570155	25.8485916572575	30.2969578755559	35.9775668088472	22.6273687230976	42.2697413778082
"TMEM159"	99.0219549349713	67.9330028545096	103.861823926705	67.8525531003009	75.0210385489957	80.050086149685	72.8010993699662	97.6046755451208
"BRCA1"	282.574847009552	276.685459542846	306.286399130795	285.411532882218	191.880733211854	225.759231725516	242.014465473131	249.77574450523
"ERCC1"	317.594806681676	297.20688748848	290.38918118283	418.962589778049	323.167550672597	295.016047832547	355.151309088619	282.822996855153
"CD22"	828.403183968174	954.60021719514	636.948532448469	735.607837579453	816.575150360222	980.388695541086	1001.5070156571	1009.86254855345
"MBTPS2"	21.7365266930425	24.0596051776388	25.4355487167442	33.3877642239576	28.8542455957676	37.7764451492896	32.4653551244444	40.7326598731606
"EXTL3"	10.8682633465212	7.07635446401142	13.7775888882364	12.9242958286287	14.4271227978838	10.7932700426542	8.8541877612121	14.6022742941519
"ELOVL5"	655.718555240115	538.510574711269	545.804482880136	501.89348801175	693.94460657821	720.450775347165	781.136120266934	755.475559534281
"ALOX5"	237.894208807187	321.266492666118	286.149923063372	415.731515820891	313.068564714078	212.267644172198	142.650802819528	195.977891842565
"KDM5D"	0	0.707635446401142	1.05981452986434	51.697183314515	21.6406841968257	36.8770059790684	43.2871401659258	42.2697413778082
"CALCOCO1"	15.6986026116418	15.5679798208251	23.3159196570155	11.847271176243	24.5261087564024	10.7932700426542	14.7569796020202	9.99102978020921
"UBR7"	297.065864804914	251.210583472405	292.508810242558	201.403609996131	251.031936683178	222.161475044631	221.354694030303	235.173470211078
"MAP4K5"	190.798400972262	210.87536302754	252.235858107713	212.173856519989	152.927501657568	152.005219767379	160.359178341952	172.153128520528
"PSMC4"	712.475041605281	741.601947828397	728.092582016803	1479.83187237799	1294.11291497018	957.003277115335	1261.22985665266	1000.64005952557
"MAN2B2"	10.8682633465212	28.3054178560457	34.9738794855233	14.0013204810145	24.5261087564024	18.8882225746448	25.5787646435016	18.4449780557709
"SLC25A39"	508.393207653938	520.81968855124	538.385781171086	644.060742126666	660.762224143077	652.992837580577	712.270215457507	614.064061106705
"MVP"	15.6986026116418	16.9832507136274	28.6149923063372	8.61619721908583	8.65627367873027	12.5921483830965	5.90279184080807	10.759570532533
"NUB1"	466.127739084133	473.408113642364	474.796909379225	361.880283201605	271.229908600215	373.26725564179	361.054100929427	322.78711597599
"PGM3"	60.3792408140069	52.3650230336845	72.0673880307752	81.8538735813154	66.3647648702654	79.1506469794638	67.8821061692928	62.2518009382266
"RWDD2A"	21.7365266930425	20.5214279456331	30.7346213660659	29.0796656144147	21.6406841968257	16.1899050639812	25.5787646435016	21.519141065066
"CLK1"	405.748498270126	455.717227482335	411.208037587365	394.191022773177	427.04283481736	337.289688832942	415.163026136834	320.481493719019
"POLR3B"	22.9441115093226	16.9832507136274	11.6579598285078	14.0013204810145	17.3125473574605	19.787661744866	18.6921741625589	16.9078965511233
"RNF14"	148.532932402457	140.819453833827	107.041267516299	115.241637805273	157.255638496933	126.820923001186	97.3960653733331	96.836134792797
"DDX11"	113.512972730333	121.713296780996	110.220711105892	84.0079228860869	100.989859585186	98.0388695541086	90.5094748923904	99.1417570497684
"TACC3"	455.259475737612	506.666979623218	472.677280319496	355.418135287291	396.745876941804	361.574546428914	336.45913492606	381.964753904922
"UFL1"	158.193610932698	140.819453833827	142.015147001822	118.47271176243	85.1200245075143	136.714753873619	100.347461293737	113.74403134392
"POLA2"	256.007981051389	261.117479722021	313.705100839845	219.713029086689	164.469199895875	240.150258449055	276.447417877844	263.609478047059
"ZC3H3"	22.9441115093226	29.720688748848	19.0766615375581	19.3864437429431	15.8698350776722	20.6871009150871	16.7245768822895	16.1393557987995
