value	group	tec_rep	bio_rep
0	WT	1	NA
0	WT	2	NA
0	WT	3	NA
-1,73284360553102	het	1	NA
-2,06761090615468	het	2	NA
-1,52428832766297	het	3	NA
-0,875501457882116	het+RUNX3	1	NA
-1,24369689222366	het+RUNX3	2	NA
-0,324350757154219	het+RUNX3	3	NA
-1,37393693402719	KO	1	NA
-1,88639589149314	KO	2	NA
-1,23960042036698	KO	3	NA
