value	group	tec_rep	bio_rep	date
7,00	WT	exp 1	exp 1	NA
6,34	WT	exp 2	exp 2	NA
6,31	WT	exp 3	exp 3	NA
7,87	het	exp 1	exp 1	NA
8,48	het	exp 2	exp 2	NA
8,32	het	exp 3	exp 3	NA
8,04	KO	exp 1	exp 1	NA
7,60	KO	exp 2	exp 2	NA
6,95	KO	exp 3	exp 3	NA
7,36	het+ARID1A	exp 1	exp 1	NA
7,17	het+ARID1A	exp 2	exp 2	NA
7,31	het+ARID1A	exp 3	exp 3	NA
