value	group	tec_rep	bio_rep
0,964999999999996	WT	exp 1	NA
1,005	WT	exp 2	NA
0,677500000000002	WT	exp 3	NA
1,695	het	exp 1	NA
1,66	het	exp 2	NA
1,7775	het	exp 3	NA
0,780000000000001	het+RUNX3	exp 1	NA
0,854999999999997	het+RUNX3	exp 2	NA
0,799999999999997	het+RUNX3	exp 3	NA
2,11	KO	exp 1	NA
1,9125	KO	exp 2	NA
2,14	KO	exp 3	NA
