value	group	tec_rep	bio_rep	date
6,89	WT	exp1	NA	NA
5,14	WT	exp2	NA	NA
5,18	WT	exp3	NA	NA
7,16	het	exp1	NA	NA
6,39	het	exp2	NA	NA
6,7	het	exp3	NA	NA
8,14	KO	exp1	NA	NA
6,89	KO	exp2	NA	NA
6,88	KO	exp3	NA	NA
6,67	het+ARID1A	exp1	NA	NA
5,86	het+ARID1A	exp2	NA	NA
5,70	het+ARID1A	exp3	NA	NA
