value	group	tec_rep	bio_rep	date
1	WT	1	NA	NA
1	WT	2	NA	NA
1	WT	3	NA	NA
0,25	het	1	NA	NA
0,21	het	2	NA	NA
0,21	het	3	NA	NA
0,37	het+RUNX3	1	NA	NA
0,49	het+RUNX3	2	NA	NA
0,54	het+RUNX3	3	NA	NA
0,16	KO	1	NA	NA
0,06	KO	2	NA	NA
0,07	KO	3	NA	NA
