value	group	tec_rep	bio_rep	date
1	WT	exp 1	NA	NA
1	WT	exp 2	NA	NA
1	WT	exp 3	NA	NA
0,55	het	exp 1	NA	NA
0,23	het	exp 2	NA	NA
0,64	het	exp 3	NA	NA
0,48	KO	exp 1	NA	NA
0,42	KO	exp 2	NA	NA
0,25	KO	exp 3	NA	NA
0,78	het+ARID1A	exp 1	NA	NA
0,56	het+ARID1A	exp 2	NA	NA
0,5	het+ARID1A	exp 3	NA	NA
