value	group	tec_rep	bio_rep	date
1	WT	exp 1	NA	NA
1	WT	exp 2	NA	NA
1	WT	exp 3	NA	NA
0,83	het	exp 1	NA	NA
0,42	het	exp 2	NA	NA
0,35	het	exp 3	NA	NA
0,42	KO	exp 1	NA	NA
0,35	KO	exp 2	NA	NA
0,31	KO	exp 3	NA	NA
1,17	het+ARID1A	exp 1	NA	NA
0,54	het+ARID1A	exp 2	NA	NA
0,69	het+ARID1A	exp 3	NA	NA
