value	group	tec_rep	bio_rep	date
7,4625	WT	1	NA	NA
6,155	WT	2	NA	NA
6,165	WT	3	NA	NA
9,1	het	1	NA	NA
8,43	het	2	NA	NA
8,345	het	3	NA	NA
8,83	het+RUNX3	1	NA	NA
6,9525	het+RUNX3	2	NA	NA
6,98	het+RUNX3	3	NA	NA
10	KO	1	NA	NA
9,845	KO	2	NA	NA
9,84	KO	3	NA	NA
