value	group	tec_rep	bio_rep	date
20,5	WT	1	NA	20210629
22,8	WT	2	NA	20210623
18,3	WT	3	NA	20210907
13,4	het	1	NA	20210629
16,5	het	2	NA	20210623
9,72	het	3	NA	20210907
31,1	het+RUNX3	1	NA	20210629
29,9	het+RUNX3	2	NA	20210623
14,8	het+RUNX3	3	NA	20210907
7,6	KO	1	NA	20210629
10,1	KO	2	NA	20210623
7,16	KO	3	NA	20210907
