value	group	tec_rep	bio_rep
5,96	WT	exp1	exp1
5,63	WT	exp2	exp2
2,65	WT	exp3	exp3
7,21	het	exp1	exp1
6,20	het	exp2	exp2
5,83	het	exp3	exp3
8,09	KO	exp1	exp1
6,17	KO	exp2	exp2
7,38	KO	exp3	exp3
