value	group	tec_rep	bio_rep	date
23,3	WT	1	NA	NA
16,6	WT	2	NA	NA
14,9	WT	3	NA	NA
7,01	het	1	NA	NA
3,96	het	2	NA	NA
5,18	het	3	NA	NA
12,7	het+RUNX3	1	NA	NA
7,01	het+RUNX3	2	NA	NA
11,9	het+RUNX3	3	NA	NA
8,99	KO	1	NA	NA
4,49	KO	2	NA	NA
6,31	KO	3	NA	NA
