value	group	tec_rep	bio_rep	date
1	WT	exp 1	NA	NA
1	WT	exp 2	NA	NA
1	WT	exp 3	NA	NA
0,2	het	exp 1	NA	NA
0,6	het	exp 2	NA	NA
0,27	het	exp 3	NA	NA
0,02	KO	exp 1	NA	NA
0,8	KO	exp 2	NA	NA
0,21	KO	exp 3	NA	NA
