value	group	tec_rep	bio_rep	date
17,4	WT	1	NA	NA
14,5	WT	2	NA	20200507
13	WT	3	NA	20200514
2,8	het	1	NA	NA
2,24	het	2	NA	20200507
1,84	het	3	NA	20200514
1,8	KO	1	NA	NA
1,84	KO	2	NA	20200507
1,38	KO	3	NA	20200514
